七武士,1954,9.3,175809
喜宴,1993,8.9,315202
模仿游戏,2014,8.7,572332
黑客帝国3：矩阵革命,2003,8.8,408258
花样年华,2000,8.7,533822
电锯惊魂,2004,8.7,476944
头脑特工队,2015,8.8,545889
三块广告牌,2017,8.7,751471
卢旺达饭店,2004,8.9,294313
你的名字。,2016,8.5,1256597
达拉斯买家俱乐部,2013,8.8,411955
疯狂原始人,2013,8.7,770944
上帝之城,2002,9.0,277079
谍影重重3,2007,8.8,383188
风之谷,1984,8.9,328473
英雄本色,1986,8.6,479340
心迷宫,2014,8.7,462376
纵横四海,1991,8.8,378122
惊魂记,1960,9.0,247795
九品芝麻官,1994,8.7,584632
海街日记,2015,8.8,396427
岁月神偷,2010,8.7,537337
记忆碎片,2000,8.7,553089
忠犬八公物语,1987,9.2,174503
荒蛮故事,2014,8.8,399232
绿里奇迹,1999,8.9,287671
爱在午夜降临前,2013,8.8,344602
爆裂鼓手,2014,8.7,521234
贫民窟的百万富翁,2008,8.6,687551
小偷家族,2018,8.7,749723
真爱至上,2003,8.6,667605
东邪西毒,1994,8.6,529219
无敌破坏王,2012,8.7,484128
色，戒,2007,8.6,671003
疯狂的石头,2006,8.5,736864
冰川时代,2002,8.6,559855
黑天鹅,2010,8.6,731343
你看起来好像很好吃,2010,8.9,303392
雨中曲,1952,9.1,194156
恐怖游轮,2009,8.5,755530
2001太空漫游,1968,8.9,279215
雨人,1988,8.7,370541
恋恋笔记本,2004,8.6,604564
魔女宅急便,1989,8.7,413612
茶馆,1982(中国大陆),9.5,99607
城市之光,1931,9.3,127781
萤火虫之墓,1988,8.7,377841
遗愿清单,2007,8.7,392354
可可西里,2004,8.9,271370
大佛普拉斯,2017,8.7,394074
无间道2,2003,8.7,408795
虎口脱险,1966,8.9,226827
牯岭街少年杀人事件,1991,8.9,251721
人工智能,2001,8.7,401305
源代码,2011,8.5,763582
初恋这件小事,2010,8.5,913972
海边的曼彻斯特,2016,8.6,454553
东京教父,2003,9.0,184970
背靠背，脸对脸,1994,9.5,101607
罗生门,1950,8.8,281902
终结者2：审判日,1991,8.8,311085
小丑,2019,8.7,910218
奇迹男孩,2017,8.6,511404
二十二,2015,8.7,271964
青蛇,1993,8.6,472088
波西米亚狂想曲,2018,8.6,539422
房间,2015,8.8,344645
疯狂的麦克斯4：狂暴之路,2015,8.6,476303
新龙门客栈,1992,8.6,399894
无耻混蛋,2009,8.6,429752
魂断蓝桥,1940,8.8,251667
血钻,2006,8.7,340657
步履不停,2008,8.8,249377
千钧一发,1997,8.8,256026
黑客帝国2：重装上阵,2003,8.7,369533
彗星来的那一夜,2013,8.5,501571
